Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:60680000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
60680000;1;08/08/2024;01/01/1900 08:59;320;"61,0";"3,893";"97,256";"70,862";"0,348";"1,372";Gramacho/Neto;16
60680000;1;03/05/2024;01/01/1900 08:59;319;"145,0";"111,097";"149,398";"72,657";"0,744";"2,056";Gramacho / Neto;16
60680000;1;18/03/2024;01/01/1900 07:46;318;"155,0";"123,157";"153,505";"70,844";"0,803";"2,166";Gramacho/ Neto;16
60680000;1;08/11/2023;01/01/1900 11:00;317;"64,0";"44,382";"96,918";"70,322";"0,458";"1,378";THIAGO E MAURO;16
60680000;1;26/06/2023;01/01/1900 13:47;316;"108,0";"77,258";"123,761";"70,987";"0,624";"1,743";Indimar / Placídio;16
60680000;1;29/03/2023;01/01/1900 09:13;315;"200,0";"189,0";"182,4";"66,6";"1,03";"2,74";Victor/Wallace;4
60680000;1;28/07/2022;01/01/1900 08:18;314;"60,0";"35,436";"90,103";"70,978";"0,395";"1,269";Robson / Vercon;16
60680000;1;24/03/2022;01/01/1900 10:33;313;"187,0";"180,0";"189,6";"72,4";"0,95";"2,62";Robson/Verçon;4
60680000;2;18/11/2021;01/01/1900 05:40;312;"181,0";"164,0";"191,0";"71,2";"0,857";"2,69";Elessandro;4
60680000;1;18/11/2021;01/01/1900 05:40;312;"181,0";"164,0";"191,3";"71,2";"0,857";"2,69";Elessandro;4
60680000;2;11/08/2021;01/01/1900 09:13;311;"56,0";"32,8";"97,1";"68,1";"0,338";"1,43";Thiago/Vitor;16
60680000;1;11/08/2021;01/01/1900 09:13;311;"56,0";"32,781";"97,122";"68,129";"0,338";"2,352";Thiago/Vitor;16
60680000;2;28/01/2021;01/01/1900 10:37;310;"104,0";"79,5";"117,0";"61,7";"0,682";"1,89";Paulo/Erik;17
60680000;1;28/01/2021;01/01/1900 10:37;310;"104,0";"79,517";"116,816";"61,722";"0,682";"1,89";Paulo/Erik;17
60680000;2;12/02/2020;01/01/1900 09:56;309;"253,0";"259,0";"223,0";"75,3";"1,16";"2,96";Adolfo/Joel;16
60680000;1;12/02/2020;01/01/1900 09:56;309;"253,0";"258,666";"223,194";"75,314";"1,159";"2,96";Adolfo/Joel;16
60680000;2;20/11/2019;01/01/1900 08:39;308;"63,0";"42,3";"106,0";"69,9";"0,397";"1,52";Adolfo/Wallace;16
60680000;1;20/11/2019;01/01/1900 08:39;308;"63,0";"42,279";"106,433";"69,945";"0,397";"1,521";Adolfo/Wallace;16
60680000;2;17/10/2019;01/01/1900 09:19;307;"24,0";"18,3";"80,0";"72,4";"0,229";"1,11";Adolfo/Wallace;16
60680000;1;17/10/2019;01/01/1900 09:19;307;"24,0";"18,331";"80,015";"72,362";"0,229";"1,106";Adolfo/Wallace;16
60680000;2;06/08/2019;01/01/1900 11:00;306;"55,0";"32,7";"94,5";"67,1";"0,346";"1,41";Adolfo/Victor;16
60680000;1;06/08/2019;01/01/1900 11:00;306;"55,0";"32,674";"94,452";"67,061";"0,346";"1,408";Adolfo/Victor;16
