Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60680000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
60680000;1;01/09/2024;;1;1;"30,6676";"18,1566";"23,7854";8;29;1;1;1;"0,0";0;"29,72";"29,72";"29,72";"29,0943";"29,72";"26,0384";"24,8506";"30,6676";"26,0384";"26,0384";"24,8506";"24,8506";"24,8506";"24,8506";"24,8506";"24,2643";"22,5357";"22,5357";"22,5357";"21,4091";"20,8537";"20,3035";"20,3035";"20,3035";"19,2193";"19,2193";"19,2193";"18,6852";"18,1566";"18,1566";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60680000;1;01/07/2024;;1;1;"56,826";"37,5946";"49,2489";1;29;1;1;1;;0;"56,826";"55,247";"53,684";"53,684";"53,2958";"52,1373";"52,1373";"52,1373";"52,1373";"51,3701";"51,3701";"51,3701";"50,607";"50,607";"49,0932";"49,0932";"49,0932";"48,3425";"48,3425";"48,3425";"48,3425";"48,3425";"47,596";"47,596";"47,596";"47,596";"47,596";"47,596";"37,5946";"38,971";"38,971";;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
60680000;1;01/06/2024;;1;1;"78,7665";"56,0345";"67,3239";1;27;1;1;1;"0,0";0;"78,7665";"78,7665";"77,8756";"75,6645";"76,1049";"76,1049";"75,225";"73,9122";"73,4764";"71,7427";"71,3116";"70,024";"67,0526";"68,3203";"67,4742";"64,1279";"64,5428";"64,1279";"64,9587";"62,4778";"63,3009";"63,3009";"59,6278";"60,4372";"60,032";"61,6586";"56,0345";"58,0208";"58,4211";"56,826";;;;;1;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;0
60680000;1;01/05/2024;;1;1;"121,0602";"78,7665";"93,7042";2;30;1;1;1;"0,0";0;"118,5734";"121,0602";"114,9084";"113,704";"111,9135";"107,8103";"104,3753";"102,1271";"99,9119";"97,7294";"90,6756";"93,462";"94,5168";"93,462";"92,561";"91,6165";"90,6756";"89,7382";"87,8739";"87,41";"86,0237";"85,104";"83,7311";"83,7311";"82,3663";"80,5591";"80,5591";"80,5591";"80,5591";"78,7665";"78,7665";;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
60680000;1;01/04/2024;;1;1;"331,4358";"113,1051";"215,927";1;30;1;1;1;"0,0";0;"331,4358";"306,196";"328,4573";"292,2177";"240,4407";"250,2771";"252,7761";"258,6699";"275,1132";"244,5082";"232,4375";"269,8497";"309,9951";"262,0773";"238,0213";"221,5255";"197,1287";"178,5158";"176,5209";"166,5764";"188,0179";"167,3549";"158,1742";"141,5432";"136,7275";"130,7006";"145,7614";"139,4655";"124,2181";"113,1051";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
60680000;1;01/03/2024;;1;1;"418,5847";"97,1889";"197,3673";29;3;1;1;1;;0;"104,3753";"97,7294";"97,1889";"103,8102";"121,0602";"126,1394";"165,0268";"124,8563";"126,1394";"150,064";"159,68";"159,68";"192,1882";"161,9569";"175,8592";"173,6719";"151,5171";"130,7006";"140,1558";"219,9943";"186,6409";"226,1606";"246,9699";"238,826";"212,4407";"268,1098";"319,626";"388,0693";"418,5847";"349,6737";"381,4898";;;1;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;1;1;1
60680000;1;01/02/2024;;1;1;"323,5318";"70,024";"189,7307";14;2;1;1;1;;0;"72,6077";"70,024";"96,114";"130,7006";"145,0526";"171,2845";"171,2845";"251,1083";"269,8497";"240,4407";"259,519";"295,904";"309,0425";"323,5318";"285,8384";"218,4699";"204,3277";"185,9549";"159,68";"140,8483";"224,6086";"162,7207";"169,7052";"171,2845";"168,1359";"181,1982";"158,1742";"144,346";"120,4352";;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;0;0
60680000;1;01/01/2024;;1;1;"294,0571";"69,1703";"141,8567";5;1;1;1;1;"0,0";0;"69,1703";"75,6645";"174,4727";"218,4699";"294,0571";"219,2312";"182,5491";"188,0179";"181,1982";"222,2937";"256,1332";"177,8492";"146,4727";"134,0261";"133,3565";"124,8563";"123,5821";"110,1423";"108,3901";"99,9119";"106,6569";"115,5138";"96,6505";"116,1214";"116,1214";"111,321";"124,2181";"104,9426";"94,5168";"89,7382";"81,9131";;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;;;
60680000;1;01/12/2023;;1;1;"162,7207";"30,9858";"70,0588";25;20;1;1;1;"0,0";0;"106,6569";"73,0416";"65,7934";"64,1279";"56,0345";"76,1049";"66,6319";"67,4742";"74,7865";"58,0208";"46,1156";"37,9371";"57,2233";"81,9131";"63,3009";"61,2505";"48,3425";"41,0687";"32,5947";"30,9858";"31,6258";"44,6522";"81,9131";"140,8483";"162,7207";"118,5734";"85,104";"74,3489";"71,7427";"75,225";"75,6645";;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;
60680000;1;01/11/2023;;1;1;"165,0268";"16,35";"47,4637";30;17;1;1;1;"0,0";0;"33,574";"33,574";"38,2806";"45,3818";"45,3818";"44,289";"51,3701";"41,0687";"34,896";"32,92";"27,8573";"24,2643";"24,2643";"22,2521";"20,3035";"19,2193";"16,35";"16,6039";"18,4202";"20,0305";"65,3755";"40,0149";"57,6216";"67,4742";"86,4849";"61,6586";"57,2233";"87,8739";"124,8563";"165,0268";;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;0
