Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:60635000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
60635000;1;09/07/2024;01/01/1900 10:51;417;"37,0";"1,82";"8,1";"13,0";"0,226";"0,618";Arthur/Ruimar;4
60635000;1;01/03/2024;01/01/1900 10:00;416;"54,0";"3,26";"11,0";"13,3";"0,295";"0,831";Arthur / Verçon;4
60635000;1;16/11/2023;01/01/1900 08:33;415;"26,0";"0,795";"6,23";"12,7";"0,128";"0,49";VICTOR / PEDRO;10
60635000;1;19/07/2023;01/01/1900 10:17;414;"42,0";"2,058";"8,442";"13,1";"0,2438";"0,644";Victor;10
60635000;1;15/03/2023;01/01/1900 10:41;413;"166,0";"12,359";"32,44";"20,651";"0,381";"1,57";Robson/Verçon;16
60635000;1;24/08/2022;01/01/1900 09:15;412;"40,0";"1,49";"13,606";"13,0";"0,157";"0,73";Thiago e Luis;10
60635000;1;27/05/2022;01/01/1900 09:48;411;"62,0";"3,954";"12,093";"14,569";"0,327";"0,83";Victor/ Luis;16
60635000;1;09/02/2022;01/01/1900 13:58;410;"180,0";"13,416";"34,872";"17,637";"0,385";"1,97";Luis/Verson;16
60635000;2;08/10/2021;01/01/1900 12:00;409;"34,0";"0,828";"9,47";"12,7";"0,087";"0,74";Luis/Victor;16
60635000;1;08/10/2021;01/01/1900 12:00;409;"34,0";"0,828";"9,472";"12,662";"0,087";"0,74";Luis/Victor;16
