Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:60640000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
60640000;1;20/09/2024;01/01/1900 10:50;201;"146,0";"2,291";"12,48";"18,634";"0,184";"0,669";Pedro/Sebastião;16
60640000;1;25/07/2024;01/01/1900 11:18;200;"164,0";"3,81";"16,713";"19,923";"0,228";"0,838";Indimar/Thales;16
60640000;1;16/04/2024;01/01/1900 09:29;199;"261,0";"18,8";"25,1";"25,9";"0,749";"0,969";Victor / Arthur;4
60640000;1;08/11/2023;01/01/1900 09:43;198;"158,0";"3,329";"15,75";"20,717";"0,211";"0,76";Paulo/Rumar;16
60640000;1;15/08/2023;01/01/1900 10:47;197;"169,0";"4,673";"18,516";"20,425";"0,252";"0,906";Elessandro/Robson;16
60640000;1;03/08/2023;01/01/1900 10:28;196;"177,0";"6,883";"21,52";"21,555";"0,32";"0,998";Robson/Paulo;16
60640000;1;05/06/2023;01/01/1900 15:08;195;"203,0";"10,83";"25,747";"21,41";"0,421";"1,202";Robson / Fernando;16
60640000;1;09/02/2023;01/01/1900 09:42;194;"290,0";"29,595";"33,419";"26,622";"0,887";"1,25";Robson/Chagas;16
60640000;1;21/12/2022;01/01/1900 12:44;193;"179,0";"6,494";"19,858";"20,397";"0,327";"0,973";Elessandro/Indimar;16
60640000;1;14/07/2022;01/01/1900 12:25;192;"182,0";"6,768";"17,289";"19,342";"0,392";"0,893";Elessandro/Pedro;16
60640000;1;09/03/2022;01/01/1900 13:09;191;"296,0";"32,53";"33,504";"26,363";"0,97";"1,27";Indimar/Vitor;16
60640000;2;29/09/2021;01/01/1900 14:51;190;"173,0";"4,17";"11,6";"25,7";"0,359";"0,45";Pedro/Indimar;16
60640000;1;29/09/2021;01/01/1900 14:51;190;"173,0";"4,167";"11,639";"25,667";"0,359";"0,45";Pedro/Indimar;16
60640000;2;02/02/2021;01/01/1900 09:09;189;"189,0";"9,32";"17,0";"19,5";"0,549";"0,87";Paulo/Erik;17
60640000;1;02/02/2021;01/01/1900 09:09;189;"189,0";"9,318";"16,967";"19,468";"0,549";"0,87";Paulo/Erik;17
60640000;2;26/02/2020;01/01/1900 09:42;188;"305,0";"30,4";"32,6";"28,5";"0,933";"1,14";Adolfo/Joel;16
60640000;1;26/02/2020;01/01/1900 09:42;186;"305,0";"30,354";"32,587";"28,494";"0,933";"1,14";Adolfo/Joel;16
60640000;1;26/02/2020;01/01/1900 09:42;188;"305,0";"30,4";"32,6";"28,49";"0,933";"1,14";Adolfo/Joel;16
60640000;2;21/11/2019;01/01/1900 08:12;187;"166,0";"5,92";"13,9";"28,1";"0,425";"0,5";Adolfo/Wallace;16
60640000;1;21/11/2019;01/01/1900 08:12;187;"166,0";"5,917";"13,921";"28,06";"0,425";"0,496";Adolfo/Wallace;16
60640000;2;09/10/2019;01/01/1900 08:15;186;"157,0";"3,5";"9,93";"19,0";"0,353";"0,52";Adolfo/Wallace;10
60640000;1;09/10/2019;01/01/1900 08:15;186;"157,0";"3,5";"9,93";"19,0";"0,353";"0,52";Adolfo/Wallace;10
60640000;2;28/08/2019;01/01/1900 10:34;183;"146,0";"2,54";"7,91";"18,3";"0,321";"0,43";Indimar;10
60640000;1;28/08/2019;01/01/1900 10:34;183;"146,0";"2,5366";"7,911";"18,3";"0,3206";"0,432";Indimar;10
60640000;2;18/07/2019;01/01/1900 10:30;185;"157,0";"3,84";"14,6";"18,0";"0,264";"0,81";Amanda/ Adolfo/ Thiago;14
60640000;2;18/07/2019;01/01/1900 10:09;184;"157,0";"3,37";"13,0";"18,0";"0,259";"0,73";Yuri/ Sintia/ Rui/ Fern;4
60640000;1;18/07/2019;01/01/1900 10:09;184;"157,0";"3,37";"13,0";"18,0";"0,259";"0,73";Yuri/ Sintia/ Rui/ Fern;4
60640000;1;18/07/2019;01/01/1900 10:30;185;"157,0";"3,84";"14,6";"18,0";"0,264";"0,81";Amanda/ Adolfo/ Thiago;14
60640000;2;01/07/2019;01/01/1900 08:49;182;"163,0";"4,58";"11,5";"24,8";"0,398";"0,46";Robson/Adolfo;16
60640000;1;01/07/2019;01/01/1900 08:49;182;"163,0";"4,578";"11,511";"24,772";"0,398";"0,465";Robson/Adolfo;16
60640000;2;26/04/2019;01/01/1900 14:16;181;"228,0";"17,0";"21,4";"25,7";"0,794";"0,83";Robson/Adolfo;16
60640000;1;26/04/2019;01/01/1900 14:16;181;"228,0";"17,0";"21,421";"25,715";"0,794";"0,833";Robson/Adolfo;16
