Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:60640000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
60640000;1;25/07/2024;01/01/1900 10:30;;1;52;"244,51";;;;;"10,0";;"44,51,801|235,71,802|231,21,726|227,01,735|218,21,678|207,71,544|195,91,588|184,41,440|176,91,392|164,61,386|160,41,368|156,91,404|155,41,297|154,51,200|153,91,164|151,91,101|150,85,77|149,97,69|149,12,65|148,28,64|147,51,63|146,67,77|145,81,63|144,96,63|144,22,63|143,46,69|142,61,66|141,77,68|141,71|140,17,80|139,41,97|138,6,78|137,8,72|137,03,89|136,24,80|135,4,59|134,4,164|133,6,335|131,7,458|123,7,436|119,6,425|110,5,441|103,2,417|88,6,449|77,490|62,546|48,591|36,625|22,5,662|14,723|0,728|244,51,823|"
60640000;1;22/11/2022;;;2;64;"253,3";;;;;"10,0";;"44,44,66|145,33,63|146,3,63|147,3,64|148,34,68|149,27,74|150,28,79|151,32,80|152,3,71|153,38,66|154,32,94|155,88,182|156,81,335|157,259|161,05,357|163,53,402|166,42,386|170,96,392|176,78,399|182,61,396|191,3,457|196,88,523|203,83,643|214,9,757|217,98,729|221,86,737|223,23,757|227,22,804|233,32,793|243,93,782|253,3,751|143,44,82|142,34,84|141,31,94|140,31,103|139,38,108|137,84,79|137,03,86|136,34,91|135,83,104|135,48,182|134,64,315|133,69,405|132,73,461|129,96,478|124,12,443|119,27,457|107,88,451|100,12,440|93,19,448|85,83,468|79,32,483|71,67,497|63,7,536|56,43,560|49,73,574|45,03,597|39,33,610|32,83,627|26,33,650|19,5,676|13,3,715|7,2,717|0,732|"
60640000;1;14/07/2022;;;1;37;"84,36";;;;;"10,0";;"9,59,118|70,62,112|71,57,112|72,59,112|73,18,132|73,48,182|74,87,330|75,74,348|77,18,427|80,43,465|82,71,504|84,36,508|68,48,113|67,55,101|66,55,96|65,55,93|63,53,80|62,62,79|61,6,82|60,58,74|59,56,69|58,54,63|64,63,86|57,54,44|56,52,52|54,52,182|52,53,413|51,14,450|49,23,429|47,15,410|38,91,396|31,66,421|22,61,508|16,92,579|9,72,640|5,5,663|0,733|"
60640000;2;28/08/2019;01/01/1900 00:00;0;2;36;"75,9";"98,9";"23,0";"584,0";"85,0";"1,0";"Aplicado deslocamento horizontal de 23 m,";"3,584|26,08,580|32,08,557|38,95,533|44,11,416|49,72,398|55,53,358|56,15,303|57,6,262|59,01,198|63,12,142|64,12,114|65,12,114|66,12,118|67,12,119|68,12,103|69,12,102|70,12,99|71,12,96|72,12,88|73,12,86|74,12,85|75,12,87|76,12,96|77,12,89|78,12,90|79,12,92|80,12,104|81,42,142|82,37,187|83,36,247|83,96,324|85,05,350|89,1,344|94,08,377|98,9,437|"
60640000;1;28/08/2019;;;2;36;"75,9";;;;;"10,0";;",584|3,08,580|9,08,557|15,95,533|21,11,416|26,72,398|32,53,358|33,15,303|34,6,262|36,01,198|40,12,142|41,12,114|42,12,114|43,12,118|44,12,119|45,12,103|46,12,102|47,12,99|48,12,96|49,12,88|50,12,86|51,12,85|52,12,87|53,12,96|54,12,89|55,12,90|56,12,92|57,12,104|58,42,142|59,37,187|60,36,247|60,96,324|62,05,350|66,1,344|71,08,377|75,9,437|"
60640000;1;07/08/2018;;;2;26;"67,3";;;;;"10,0";;",168|5,11,102|9,86,64|13,55,85|15,86,121|16,52,44|28,04,14|29,14,-8|29,74,-26|30,74,-39|32,74,-44|33,74,-47|34,74,-40|36,74,-36|37,74,-24|38,74,-20|39,74,-12|40,74,-14|43,54,2|45,54,14|47,92,77|49,48,161|51,07,246|57,51,265|61,51,370|67,25,386|"
60640000;1;17/08/2017;;;2;30;"37,2";;;;;"10,0";;",514|2,467|4,469|5,5,440|7,409|8,3,378|9,3,281|10,3,236|11,164|11,7,126|14,2,70|15,7,77|17,2,64|18,7,58|20,2,64|21,7,62|23,2,64|24,7,64|26,2,60|27,7,62|29,2,68|32,2,126|32,7,203|33,2,259|33,7,314|34,335|34,5,407|35,5,439|36,5,443|37,2,427|"
60640000;1;17/08/2017;;;2;30;"37,2";"0,0";"0,0";"0,0";"0,0";"10,0";;",514|2,467|4,469|5,5,440|7,409|8,3,378|9,3,281|10,3,236|11,164|11,7,126|14,2,70|15,7,77|17,2,64|18,7,58|20,2,64|21,7,62|23,2,64|24,7,64|26,2,60|27,7,62|29,2,68|32,2,126|32,7,203|33,2,259|33,7,314|34,335|34,5,407|35,5,439|36,5,443|37,2,427|"
60640000;2;17/08/2017;01/01/1900 00:00;0;2;30;"37,2";"86,2";"49,0";"514,0";"58,0";"1,0";"Aplicado deslocamento horizontal de 49 m,";"9,514|51,467|53,469|54,5,440|56,409|57,3,378|58,3,281|59,3,236|60,164|60,7,126|63,2,70|64,7,77|66,2,64|67,7,58|69,2,64|70,7,62|72,2,64|73,7,64|75,2,60|76,7,62|78,2,68|81,2,126|81,7,203|82,2,259|82,7,314|83,335|83,5,407|84,5,439|85,5,443|86,2,427|"
60640000;2;11/07/2016;01/01/1900 00:00;0;2;38;"95,0";"135,0";"40,0";"759,0";"40,0";"1,0";"Aplicado deslocamento horizontal de 40 m,";"0,486|43,498|45,8,509|47,511|48,3,507|51,3,485|54,3,421|57,1,341|57,9,236|59,54,146|62,54,51|63,6,46|64,6,47|65,62,50|66,61,51|67,6,48|68,51,40|69,5,43|70,48,45|71,47,51|72,42,54|73,43,51|73,47,51|75,48,51|76,5,55|76,8,57|79,8,146|82,5,426|84,440|85,5,419|89,5,395|97,5,395|102,5,420|112,5,754|117,5,759|127,5,652|132,5,698|135,738|"
