Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:60640000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
60640000;2;13/06/1975;04/12/1976;"588,0";"170,0";1;01/02;1;"19,094";"1,29";"1,218";;;;;"1,0";
60640000;2;13/06/1975;04/12/1976;"650,0";"588,0";1;02/02;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;05/12/1976;23/05/1977;"269,0";"200,0";1;01/03;1;"18,3383";"1,15";"1,319";;;;;"1,0";
60640000;2;05/12/1976;23/05/1977;"369,0";"269,0";1;02/03;1;"12,9738";"0,92";"1,604";;;;;"1,0";
60640000;2;05/12/1976;23/05/1977;"650,0";"369,0";1;03/03;1;"16,6994";"0,53";"1,2";;;;;"1,0";
60640000;2;24/05/1977;30/06/1980;"368,0";"170,0";1;01/02;1;"19,2787";"1,21";"1,258";;;;;"1,0";
60640000;2;21/11/2018;31/12/2021;"256,0";"120,0";1;01/03;1;"10,61";"1,01";"1,817";;;;;"1,0";
60640000;2;21/11/2018;31/12/2021;"530,0";"256,0";1;02/03;1;"13,655";"1,09";"1,41";;;;;"1,0";
60640000;2;21/11/2018;31/12/2021;"700,0";"530,0";1;03/03;1;"19,094";"1,29";"1,218";;;;;"1,0";
60640000;2;03/10/2011;05/12/2014;"416,0";"140,0";1;01/02;1;"18,3383";"1,15";"1,319";;;;;"1,0";
60640000;2;03/10/2011;05/12/2014;"650,0";"416,0";1;02/02;1;"16,6994";"0,53";"1,2";;;;;"1,0";
60640000;2;06/12/2014;20/11/2018;"133,0";"110,0";1;01/04;1;"15,4929";"1,16";"1,7";;;;;"1,0";
60640000;2;06/12/2014;20/11/2018;"160,0";"133,0";1;02/04;1;"29,3638";"1,14";"2,2";;;;;"1,0";
60640000;2;06/12/2014;20/11/2018;"210,0";"160,0";1;03/04;1;"16,869";"1,2";"1,26";;;;;"1,0";
60640000;2;06/12/2014;20/11/2018;"700,0";"210,0";1;04/04;1;"19,094";"1,29";"1,218";;;;;"1,0";
60640000;2;24/03/2006;20/10/2009;"213,0";"140,0";1;01/03;1;"11,3";"0,9";"2,084";;;;;"1,0";
60640000;2;24/03/2006;20/10/2009;"368,0";"213,0";1;02/03;1;"19,2787";"1,21";"1,258";;;;;"1,0";
60640000;2;24/03/2006;20/10/2009;"650,0";"368,0";1;03/03;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;21/10/2009;02/10/2011;"190,0";"130,0";1;01/03;1;"14,5328";"1,11";"1,405";;;;;"1,0";
60640000;2;21/10/2009;02/10/2011;"588,0";"190,0";1;02/03;1;"19,094";"1,29";"1,218";;;;;"1,0";
60640000;2;21/10/2009;02/10/2011;"650,0";"588,0";1;03/03;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;08/04/1985;15/02/1988;"650,0";"588,0";1;03/03;1;"6,6974";"-0,26";"1,6";;;;;"1,0";
60640000;2;16/02/1988;24/11/1989;"194,0";"170,0";1;01/03;1;"3,174";"0,4";"3,0";;;;;"1,0";
60640000;2;16/02/1988;24/11/1989;"379,0";"194,0";1;02/03;1;"20,49";"1,31";"1,233";;;;;"1,0";
