Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:60650000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
60650000;2;01/01/1978;31/05/1992;"750,0";"100,0";1;01/;1;"35,9233";"0,6";"1,28";;;;;"1,0";
60650000;2;01/06/1992;26/03/2016;"208,0";"60,0";1;01/02;1;"31,2515";"0,48";"1,364";;;;;"1,0";
60650000;2;01/06/1992;26/03/2016;"750,0";"208,0";1;02/02;1;"35,9233";"0,6";"1,28";;;;;"1,0";
60650000;2;27/03/2016;30/04/2018;"327,0";"70,0";1;01/02;1;"35,92";"0,62";"1,29";;;;;"1,0";
60650000;2;27/03/2016;30/04/2018;"750,0";"327,0";1;02/02;1;"35,9233";"0,6";"1,28";;;;;"1,0";
60650000;2;01/05/2018;31/12/2021;"140,0";"70,0";1;01/02;1;"28,468";"0,43";"1,722";;;;;"1,0";
60650000;2;01/05/2018;31/12/2021;"750,0";"140,0";1;02/02;1;"35,9233";"0,6";"1,28";;;;;"1,0";
60650000;1;01/01/2022;04/07/2023;"140,0";"70,0";1;01/02;1;"28,6868";"0,43";"1,992";;;;;"1,0";
60650000;1;01/01/2022;04/07/2023;"750,0";"140,0";1;02/02;1;"35,9233";"0,6";"1,28";;;;;"1,0";
60650000;1;05/07/2023;31/12/2025;"140,0";"70,0";1;01/02;1;"29,1412";"0,43";"2,508";;;;;"1,0";
60650000;1;05/07/2023;31/12/2025;"750,0";"140,0";1;02/02;1;"35,9233";"0,6";"1,28";;;;;"1,0";
